"Abrangência";"Partido";"Eleitores";"%"
"PB";"NOVO";"178";"0,001"
"PB";"PATRI";"1.257";"0,007"
"PB";"PC DO B";"7.409";"0,044"
"PB";"PCB";"21";"0,000"
"PB";"PCO";"112";"0,001"
"PB";"PDT";"16.262";"0,097"
"PB";"PHS";"3.159";"0,019"
"PB";"PMB";"840";"0,005"
"PB";"PMN";"2.993";"0,018"
"PB";"PODE";"4.123";"0,025"
"PB";"PP";"25.630";"0,153"
"PB";"PPL";"1.228";"0,007"
"PB";"PPS";"8.347";"0,050"
"PB";"PR";"17.337";"0,103"
"PB";"PRB";"11.160";"0,067"
"PB";"PROS";"1.643";"0,010"
"PB";"PRP";"5.243";"0,031"
"PB";"PRTB";"2.982";"0,018"
"PB";"PSB";"19.711";"0,117"
"PB";"PSC";"6.261";"0,037"
"PB";"PSD";"9.893";"0,059"
"PB";"PSDB";"33.899";"0,202"
"PB";"PSL";"8.314";"0,050"
"PB";"PSOL";"1.367";"0,008"
"PB";"PSTU";"97";"0,001"
"PB";"PT";"29.057";"0,173"
"PB";"PTB";"21.479";"0,128"
"PB";"PTC";"3.257";"0,019"
"PB";"PV";"6.172";"0,037"
"PB";"REDE";"430";"0,003"
"PB";"SD";"2.035";"0,012"
"PE";"AVANTE";"6.988";"0,042"
"PE";"DC";"11.056";"0,066"
"PE";"DEM";"38.559";"0,230"
"PE";"MDB";"53.275";"0,317"
"PE";"NOVO";"340";"0,002"
"PE";"PATRI";"1.621";"0,010"
"PE";"PC DO B";"20.078";"0,120"
"PE";"PCB";"1.213";"0,007"
"PE";"PCO";"127";"0,001"
"PE";"PDT";"46.885";"0,279"
"PE";"PHS";"12.242";"0,073"
"PE";"PMB";"869";"0,005"
"PE";"PMN";"17.009";"0,101"
"PE";"PODE";"4.395";"0,026"
"PE";"PP";"62.031";"0,370"
"PE";"PPL";"1.728";"0,010"
"PE";"PPS";"16.536";"0,099"
"PE";"PR";"30.234";"0,180"
"PE";"PRB";"10.926";"0,065"
"PE";"PROS";"3.300";"0,020"
"PE";"PRP";"11.240";"0,067"
"PE";"PRTB";"5.602";"0,033"
"PE";"PSB";"34.326";"0,205"
"PE";"PSC";"14.796";"0,088"
"PE";"PSD";"7.743";"0,046"
"PE";"PSDB";"40.067";"0,239"
"PE";"PSL";"15.728";"0,094"
"PE";"PSOL";"7.550";"0,045"
"PE";"PSTU";"262";"0,002"
"PE";"PT";"59.555";"0,355"
"PE";"PTB";"38.466";"0,229"
"PE";"PTC";"13.164";"0,078"
"PE";"PV";"13.805";"0,082"
"PE";"REDE";"1.193";"0,007"
"PE";"SD";"10.415";"0,062"
"PI";"AVANTE";"1.907";"0,011"
"PI";"DC";"1.633";"0,010"
"PI";"DEM";"25.526";"0,152"
"PI";"MDB";"39.679";"0,236"
"PI";"NOVO";"53";"0,000"
"PI";"PATRI";"1.405";"0,008"
"PI";"PC DO B";"11.698";"0,070"
"PI";"PCB";"576";"0,003"
"PI";"PCO";"60";"0,000"
"PI";"PDT";"15.347";"0,091"
"PI";"PHS";"2.567";"0,015"
"PI";"PMB";"1.523";"0,009"
"PI";"PMN";"4.261";"0,025"
"PI";"PODE";"2.477";"0,015"
"PI";"PP";"23.182";"0,138"
"PI";"PPL";"860";"0,005"
"PI";"PPS";"12.804";"0,076"
"PI";"PR";"12.289";"0,073"
