"Abrangência";"Partido";"Eleitores";"%"
"RO";"PSD";"3.440";"0,021"
"RO";"PSDB";"16.398";"0,102"
"RO";"PSL";"663";"0,004"
"RO";"PSOL";"846";"0,005"
"RO";"PSTU";"301";"0,002"
"RO";"PT";"13.219";"0,083"
"RO";"PTB";"11.219";"0,070"
"RO";"PTC";"1.722";"0,011"
"RO";"PV";"6.363";"0,040"
"RO";"REDE";"180";"0,001"
"RO";"REPUBLICANOS";"5.377";"0,034"
"RO";"SOLIDARIEDADE";"2.854";"0,018"
"RR";"AVANTE";"601";"0,004"
"RR";"CIDADANIA";"2.290";"0,014"
"RR";"DC";"1.112";"0,007"
"RR";"DEM";"3.480";"0,022"
"RR";"MDB";"3.322";"0,021"
"RR";"NOVO";"67";"0,000"
"RR";"PATRIOTA";"7.016";"0,044"
"RR";"PCB";"21";"0,000"
"RR";"PCDOB";"1.357";"0,008"
"RR";"PCO";"49";"0,000"
"RR";"PDT";"4.714";"0,029"
"RR";"PL";"2.186";"0,014"
"RR";"PMB";"627";"0,004"
"RR";"PMN";"1.299";"0,008"
"RR";"PODE";"2.044";"0,013"
"RR";"PP";"5.154";"0,032"
"RR";"PROS";"724";"0,005"
"RR";"PRTB";"2.436";"0,015"
"RR";"PSB";"1.478";"0,009"
"RR";"PSC";"976";"0,006"
"RR";"PSD";"1.144";"0,007"
"RR";"PSDB";"5.000";"0,031"
"RR";"PSL";"338";"0,002"
"RR";"PSOL";"634";"0,004"
"RR";"PSTU";"26";"0,000"
"RR";"PT";"1.550";"0,010"
"RR";"PTB";"3.967";"0,025"
"RR";"PTC";"471";"0,003"
"RR";"PV";"1.205";"0,008"
"RR";"REDE";"393";"0,002"
"RR";"REPUBLICANOS";"2.295";"0,014"
"RR";"SOLIDARIEDADE";"975";"0,006"
"RS";"AVANTE";"3.718";"0,023"
"RS";"CIDADANIA";"26.336";"0,165"
"RS";"DC";"1.502";"0,009"
"RS";"DEM";"52.232";"0,326"
"RS";"MDB";"236.324";"1,477"
"RS";"NOVO";"3.033";"0,019"
"RS";"PATRIOTA";"3.044";"0,019"
"RS";"PCB";"185";"0,001"
"RS";"PCDOB";"21.159";"0,132"
"RS";"PCO";"147";"0,001"
"RS";"PDT";"229.101";"1,432"
"RS";"PL";"24.294";"0,152"
"RS";"PMB";"62";"0,000"
"RS";"PMN";"1.732";"0,011"
"RS";"PODE";"9.296";"0,058"
"RS";"PP";"202.913";"1,268"
"RS";"PROS";"2.341";"0,015"
"RS";"PRTB";"3.242";"0,020"
"RS";"PSB";"58.333";"0,364"
"RS";"PSC";"7.337";"0,046"
"RS";"PSD";"17.694";"0,111"
"RS";"PSDB";"93.157";"0,582"
"RS";"PSL";"2.503";"0,016"
"RS";"PSOL";"13.645";"0,085"
"RS";"PSTU";"743";"0,005"
"RS";"PT";"134.499";"0,840"
"RS";"PTB";"117.433";"0,734"
"RS";"PTC";"2.391";"0,015"
"RS";"PV";"8.461";"0,053"
"RS";"REDE";"2.386";"0,015"
"RS";"REPUBLICANOS";"28.362";"0,177"
"RS";"SOLIDARIEDADE";"8.510";"0,053"
"RS";"UP";"183";"0,001"
"SC";"AVANTE";"2.454";"0,015"
"SC";"CIDADANIA";"21.585";"0,135"
"SC";"DC";"2.464";"0,015"
"SC";"DEM";"94.934";"0,593"
"SC";"MDB";"185.757";"1,161"
"SC";"NOVO";"3.122";"0,020"
"SC";"PATRIOTA";"8.662";"0,054"
"SC";"PCB";"44";"0,000"
"SC";"PCDOB";"6.814";"0,043"
"SC";"PCO";"59";"0,000"
"SC";"PDT";"42.363";"0,265"
"SC";"PL";"42.654";"0,267"
"SC";"PMB";"99";"0,001"
"SC";"PMN";"2.375";"0,015"
"SC";"PODE";"9.777";"0,061"
"SC";"PP";"128.585";"0,803"
"SC";"PROS";"1.080";"0,007"
"SC";"PRTB";"1.823";"0,011"
"SC";"PSB";"18.397";"0,115"
"SC";"PSC";"13.601";"0,085"
"SC";"PSD";"51.431";"0,321"
"SC";"PSDB";"99.686";"0,623"
"SC";"PSL";"3.280";"0,020"
"SC";"PSOL";"2.773";"0,017"
"SC";"PSTU";"278";"0,002"
"SC";"PT";"58.221";"0,364"
"SC";"PTB";"22.819";"0,143"
"SC";"PTC";"7.614";"0,048"
"SC";"PV";"6.308";"0,039"
"SC";"REDE";"348";"0,002"
"SC";"REPUBLICANOS";"17.315";"0,108"
"SC";"SOLIDARIEDADE";"4.925";"0,031"
"SC";"UP";"47";"0,000"
"SE";"AVANTE";"3.348";"0,021"
"SE";"CIDADANIA";"9.915";"0,062"
"SE";"DC";"1.844";"0,012"
"SE";"DEM";"11.607";"0,073"
"SE";"MDB";"14.854";"0,093"
"SE";"NOVO";"144";"0,001"
"SE";"PATRIOTA";"3.417";"0,021"
"SE";"PCB";"784";"0,005"
"SE";"PCDOB";"5.155";"0,032"
"SE";"PCO";"88";"0,001"
"SE";"PDT";"10.282";"0,064"
"SE";"PL";"8.616";"0,054"
"SE";"PMB";"325";"0,002"
"SE";"PMN";"3.965";"0,025"
"SE";"PODE";"6.985";"0,044"
"SE";"PP";"10.463";"0,065"
"SE";"PROS";"1.421";"0,009"
"SE";"PRTB";"1.369";"0,009"
"SE";"PSB";"9.022";"0,056"
"SE";"PSC";"6.368";"0,040"
"SE";"PSD";"6.201";"0,039"
"SE";"PSDB";"10.171";"0,064"
"SE";"PSL";"1.029";"0,006"
"SE";"PSOL";"2.106";"0,013"
"SE";"PSTU";"802";"0,005"
"SE";"PT";"15.594";"0,097"
"SE";"PTB";"8.358";"0,052"
"SE";"PTC";"2.754";"0,017"
"SE";"PV";"5.044";"0,032"
"SE";"REDE";"745";"0,005"
"SE";"REPUBLICANOS";"5.767";"0,036"
"SE";"SOLIDARIEDADE";"3.549";"0,022"
"SE";"UP";"1";"0,000"
"SP";"AVANTE";"37.164";"0,232"
"SP";"CIDADANIA";"86.878";"0,543"
"SP";"DC";"39.156";"0,245"
"SP";"DEM";"127.757";"0,798"
"SP";"MDB";"435.463";"2,721"
"SP";"NOVO";"11.617";"0,073"
"SP";"PATRIOTA";"78.046";"0,488"
"SP";"PCB";"1.527";"0,010"
"SP";"PCDOB";"71.502";"0,447"
"SP";"PCO";"1.048";"0,007"
"SP";"PDT";"140.384";"0,877"
"SP";"PHS";"38";"0,000"
"SP";"PL";"139.892";"0,874"
"SP";"PMB";"10.204";"0,064"
"SP";"PMN";"35.339";"0,221"
"SP";"PODE";"70.656";"0,442"
"SP";"PP";"188.451";"1,178"
"SP";"PROS";"15.944";"0,100"
"SP";"PRP";"87";"0,001"
"SP";"PRTB";"21.946";"0,137"
"SP";"PSB";"113.515";"0,709"
"SP";"PSC";"55.317";"0,346"
"SP";"PSD";"51.182";"0,320"
"SP";"PSDB";"298.173";"1,863"
"SP";"PSL";"12.130";"0,076"
"SP";"PSOL";"43.519";"0,272"
"SP";"PSTU";"3.599";"0,022"
"SP";"PT";"361.275";"2,257"
"SP";"PTB";"299.728";"1,873"
"SP";"PTC";"22.509";"0,141"
"SP";"PV";"87.744";"0,548"
"SP";"REDE";"3.775";"0,024"
"SP";"REPUBLICANOS";"80.385";"0,502"
"SP";"SOLIDARIEDADE";"49.799";"0,311"
"SP";"UP";"64";"0,000"
"TO";"AVANTE";"1.387";"0,009"
"TO";"CIDADANIA";"6.565";"0,041"
"TO";"DC";"1.732";"0,011"
"TO";"DEM";"17.846";"0,112"
"TO";"MDB";"31.587";"0,197"
"TO";"NOVO";"125";"0,001"
"TO";"PATRIOTA";"3.732";"0,023"
"TO";"PCB";"40";"0,000"
"TO";"PCDOB";"2.176";"0,014"
"TO";"PCO";"2";"0,000"
"TO";"PDT";"7.297";"0,046"
"TO";"PL";"11.574";"0,072"
"TO";"PMB";"248";"0,002"
"TO";"PMN";"2.007";"0,013"
"TO";"PODE";"5.504";"0,034"
"TO";"PP";"18.305";"0,114"
"TO";"PROS";"2.160";"0,013"
"TO";"PRTB";"3.226";"0,020"
"TO";"PSB";"7.684";"0,048"
"TO";"PSC";"4.772";"0,030"
"TO";"PSD";"8.141";"0,051"
"TO";"PSDB";"15.748";"0,098"
"TO";"PSL";"1.464";"0,009"
"TO";"PSOL";"719";"0,004"
"TO";"PSTU";"10";"0,000"
"TO";"PT";"17.021";"0,106"
"TO";"PTB";"10.970";"0,069"
"TO";"PTC";"2.405";"0,015"
"TO";"PV";"7.125";"0,045"
"TO";"REDE";"251";"0,002"
"TO";"REPUBLICANOS";"5.945";"0,037"
"TO";"SOLIDARIEDADE";"5.249";"0,033"
"TOTAL";"";"16.003.597";""
"ZZ";"AVANTE";"76";"0,000"
"ZZ";"CIDADANIA";"332";"0,002"
"ZZ";"DC";"86";"0,001"
"ZZ";"DEM";"599";"0,004"
"ZZ";"MDB";"1.218";"0,008"
"ZZ";"NOVO";"119";"0,001"
"ZZ";"PATRIOTA";"120";"0,001"
"ZZ";"PCB";"12";"0,000"
"ZZ";"PCDOB";"167";"0,001"
"ZZ";"PCO";"8";"0,000"
"ZZ";"PDT";"592";"0,004"
"ZZ";"PL";"464";"0,003"
"ZZ";"PMB";"2";"0,000"
"ZZ";"PMN";"112";"0,001"
"ZZ";"PODE";"147";"0,001"
"ZZ";"PP";"691";"0,004"
"ZZ";"PROS";"8";"0,000"
"ZZ";"PRTB";"83";"0,001"
"ZZ";"PSB";"323";"0,002"
"ZZ";"PSC";"186";"0,001"
"ZZ";"PSD";"40";"0,000"
"ZZ";"PSDB";"1.086";"0,007"
"ZZ";"PSL";"35";"0,000"
"ZZ";"PSOL";"86";"0,001"
"ZZ";"PSTU";"23";"0,000"
"ZZ";"PT";"1.175";"0,007"
"ZZ";"PTB";"627";"0,004"
"ZZ";"PTC";"89";"0,001"
"ZZ";"PV";"269";"0,002"
"ZZ";"REDE";"8";"0,000"
"ZZ";"REPUBLICANOS";"259";"0,002"
"ZZ";"SOLIDARIEDADE";"20";"0,000"
